"","id","first","last","hand","DOB","country","year","month","day"
"4357","204356","Emily","Fanning","U",NA,"NZL",1995,6,13
"4358","204357","Caroline","Price","U",NA,"USA",1993,3,13
"4359","204358","Angelica Maria","Torres","R",NA,"COL",1983,9,19
"4360","204359","Giovanna","Manifacio","R",NA,"MEX",1994,8,29
"4361","204360","Carolina","Betancourt","R",NA,"MEX",1993,3,31
"4362","204361","Tanaporn","Thongsing","R",NA,"THA",1994,6,30
"4363","204362","Theiviya","Selvarajoo","U",NA,"MAS",1994,6,20
"4364","204363","Camila","Fuentes","U",NA,"USA",1995,9,29
"4365","204364","Josie","Kuhlman","R",NA,"USA",1995,11,5
"4366","204365","Anna Maria","Zubori","R",NA,"FRA",1986,9,12
"4367","204366","Victoria","Muntean","U",NA,"FRA",1997,1,23
"4368","204367","Valerie","Verhamme","R",NA,"BEL",1989,4,3
"4369","204368","Lottie","Fox","R",NA,"GBR",1992,5,15
"4370","204369","Natasha","Starling","R",NA,"GBR",1990,11,12
"4371","204370","Julie","Noe","R",NA,"DEN",1996,3,19
"4372","204371","Ulrikke","Hoyer","U",NA,"DEN",1996,5,16
"4373","204372","Anna Signe","Rasmussen","R",NA,"DEN",1994,12,23
"4374","204373","Maria","Jespersen","R",NA,"DEN",1991,12,3
"4375","204374","Frederikke","Svarre","R",NA,"DEN",1997,3,13
"4376","204375","Martine","Ditlev","R",NA,"DEN",1996,3,23
"4377","204376","Demi","Schuurs","R",NA,"NED",1993,8,1
"4378","204377","Indy","De Vroome","R",NA,"NED",1996,5,21
"4379","204378","Matilda","Hamlin","U",NA,"SWE",1992,8,21
"4380","204379","Brenda","Njuki","R",NA,"SWE",1994,2,17
"4381","204380","Rebecca","Poikajarvi","U",NA,"SWE",1993,1,20
"4382","204381","Louise","Brunskog","U",NA,"SWE",1993,1,2
"4383","204382","Valeria","Osadchenko","U",NA,"SWE",1992,6,12
"4384","204383","Beatrice","Cedermark","R",NA,"SWE",1993,2,12
"4385","204384","Agnes","Bukta","R",NA,"HUN",1993,10,29
"4386","204385","Marisa","Gianotti","U",NA,"AUS",1987,7,6
"4387","204386","Vincenza","Ciraolo","R",NA,"ITA",1992,9,16
"4388","204387","Carolina","Pillot","R",NA,"ITA",1992,3,28
"4389","204388","Lisa Maria","Moser","R",NA,"AUT",1991,3,28
"4390","204389","Anna Maria","Heil","U",NA,"AUT",1995,6,21
"4391","204390","Pia","Konig","R",NA,"AUT",1993,5,14
"4392","204391","Sofia","Kvatsabaia","U",NA,"GEO",1988,7,18
"4393","204392","Caroline","Van De Wijgaart","R",NA,"BEL",1994,3,3
"4394","204393","Skylar Alexandra","Morton","U",NA,"USA",1994,4,24
"4395","204394","Valentini","Grammatikopoulou","U",NA,"GRE",1997,2,9
"4396","204395","Brooke","Austin","R",NA,"USA",1996,2,12
"4397","204396","Liliya","Izmaylova","U",NA,"UZB",1997,5,20
"4398","204397","Arina","Folts","R",NA,"UZB",1997,1,1
"4399","204398","Maftuna","Yunusova","U",NA,"UZB",1996,1,1
"4400","204399","Yana","Khon","R",NA,"UZB",1997,2,26
"4401","204400","Natella","Nabieva","R",NA,"UZB",1995,5,4
"4402","204401","Madina","Hatamova","U",NA,"UZB",1995,4,19
"4403","204402","Tania","Alaby","R",NA,"CAN",1992,4,21
"4404","204403","Priscila","Nunez","R",NA,"CAN",1992,9,20
"4405","204404","Ah","Song","R",NA,"KOR",1996,5,12
"4406","204405","Hee Jin","Oh","U",NA,"KOR",1995,2,7
"4407","204406","Ki Ryang","Kim","R",NA,"KOR",1994,9,13
"4408","204407","Yang","Pang","R",NA,"CHN",1993,4,2
"4409","204408","Zi","Yang","R",NA,"CHN",1993,9,12
"4410","204409","Yoshimi","Kawasaki","U",NA,"JPN",1989,6,17
"4411","204410","Kanami","Tsuji","U",NA,"JPN",1996,1,24
"4412","204411","Storm","Sanders","L",NA,"AUS",1994,8,11
"4413","204412","Belinda","Woolcock","R",NA,"AUS",1995,1,24
"4414","204413","Azra","Hadzic","U",NA,"AUS",1994,11,26
"4415","204414","Nattawadee","Kotcha","R",NA,"THA",1993,9,15
"4416","204415","Alexandra","Riley","U",NA,"USA",1991,4,13
"4417","204416","Robyn","Beddow","U",NA,"GBR",1993,8,5
"4418","204417","Hana","Birnerova","R",NA,"CZE",1989,6,27
"4419","204418","Daniella","Roldan","R",NA,"USA",1997,11,5
"4420","204419","Ana Sofia","Sanchez","L",NA,"MEX",1994,4,13
"4421","204420","Marcela","Zacarias","R",NA,"MEX",1994,3,26
"4422","204421","Ana Paula","De La Pena","R",NA,"MEX",1988,7,25
"4423","204422","Valeria","Salazar","R",NA,"MEX",1995,4,27
"4424","204423","Lyn Yuen","Choo","R",NA,"MAS",1996,9,27
"4425","204424","Hayley","Carter","U",NA,"USA",1995,5,17
